"MYCO REFERRAL PROGRAM - MASTER WORKBOOK",,,,,,
"Generated: January 2026",,,,,,
,,,,,,
"================================================================================",,,,,,
"SECTION 1: FINAL APPROVED PAYOUT STRUCTURE",,,,,,
"================================================================================",,,,,,
,,,,,,
"Component","Rate","Base","Per $1,500 Project","Notes",,
"High Value","$3,000","$2,160","$417","EXCELLENT",,
"Enterprise","$5,000","$3,600","$694","EXCELLENT",,
"Premium","$10,000","$7,200","$1,388","CAP RECOMMENDED",,
,,,,,,
"MINIMUM VIABLE TPC:","$400","","","",""
"BREAK-EVEN FOR $1K PARTNER EARNINGS:","$1,390 TPC with 2 projects/year","","","",""
,,,,,,
"================================================================================",,,,,,
"SECTION 7: KEY METRICS",,,,,,
"================================================================================",,,,,,
,,,,,,
"Metric","Target","Result","Status",,,
"Partner 5-Year Earnings","≥ $1,000","$1,080","✓ MET",,,
"MyCo Net Margin","≥ 7%","13.9%","✓ MET",,,
"RO Client > RO Consultant","Yes","6.4x higher","✓ MET",,,
"Sustainable Long-term","Yes","Yes","✓ MET",,,
,,,,,,
"================================================================================",,,,,,
"SECTION 8: REVIEW CHECKLIST",,,,,,
"================================================================================",,,,,,
,,,,,,
"Order","Document","Category","Action","Status","Reviewed By","Date"
"1","EXECUTIVE_SUMMARY.md","Core","Confirm final rates","",""
"2","referral-calculator.html","Core","Test in browser","",""
"3","SCENARIO_ANALYSIS.md","Analysis","Verify projections","",""
"4","STRESS_TEST_ANALYSIS.md","Analysis","Confirm thresholds","",""
"5","PARTNER_SALES_DECK.md","Partner","Review pitch","",""
"6","PARTNER_EARNINGS_EXAMPLES.md","Partner","Verify math","",""
"7","PARTNER_FAQ.md","Partner","Check accuracy","",""
"8","PARTNER_ONBOARDING_GUIDE.md","Partner","Review flow","",""
"9","PARTNER_QUICK_CARD.md","Partner","Confirm key info","",""
"10","PARTNER_AGREEMENT_TEMPLATE.md","Legal","ATTORNEY REVIEW","",""
"11","REFERRAL_TERMS.md","Legal","Legal compliance","",""
"12","PAYOUT_SCHEDULE.md","Legal","Payment terms clear","",""
"13","referral-tracking-template.csv","Tracking","Test in Excel","",""
"14","payout-calculator-template.csv","Tracking","Test in Excel","",""
"15","partner-performance-dashboard.html","Tracking","Test in browser","",""
"16","TRACKING_GUIDE.md","Tracking","Review process","",""
"17","FINAL_REVIEW_CHECKLIST.md","Process","Complete checklist","",""
"18","ADVANCED_SCENARIOS.md","Future","Review (no action)","",""
,,,,,,
"================================================================================",,,,,,
"SECTION 9: PARTNER TRACKING TEMPLATE",,,,,,
"================================================================================",,,,,,
,,,,,,
"Partner ID","Partner Name","Partner Email","Referral ID","Referral Type","Client/Consultant Name","Company","Referral Date","Status","First Project Date","Cliff Date","Total Projects","Total TPC","Cumulative Payout","Last Payout Date"
"P001","","","R001","Client","","","","Pending","","","0","$0","$0",""
"P001","","","R002","Client","","","","","","","0","$0","$0",""
"P002","","","R003","Consultant","","","","","","N/A","0","$0","$0",""
,,,,,,
"================================================================================",,,,,,
"SECTION 10: MONTHLY PAYOUT CALCULATOR",,,,,,
"================================================================================",,,,,,
,,,,,,
"Month","Year","Partner ID","Partner Name","Referral ID","Client Name","Project TPC","Referral Type","Years Active","Rate","Calculated Payout","Payment Status","Payment Date"
"","","","","","","","Client","","10%","=TPC*0.10","Pending",""
"","","","","","","","Client","","3%","=TPC*0.03","",""
"","","","","","","","Consultant","","1.5%","=AC*0.015","",""
,,,,,,
"================================================================================",,,,,,
"SECTION 11: RATE QUICK REFERENCE",,,,,,
"================================================================================",,,,,,
,,,,,,
"Referral Type","Years 1-3","Year 4+","Calculation Base","Example ($1,500 TPC)",,
"Client Referral","10%","3%","Total Project Cost","$150 / $45",,
"Consultant Referral","1.5%","1.5%","Allocated Cost (75% of TPC)","$16.88",,
,,,,,,
"Payment Terms:","Within 30 days of client payment",,,,
"Minimum Payout:","$50",,,,
"Payment Method:","ACH (preferred), Check, Wire",,,,
,,,,,,
"================================================================================",,,,,,
"SECTION 12: CONTACT INFORMATION",,,,,,
"================================================================================",,,,,,
,,,,,,
"Purpose","Contact",,,,,
"Partner Questions","partners@myco.com",,,,,
"Payment Issues","accounting@myco.com",,,,,
"Partner Portal","partners.myco.com",,,,,
"Phone","(555) 123-4567",,,,,
,,,,,,
"================================================================================",,,,,,
"END OF MASTER WORKBOOK",,,,,,
"================================================================================",,,,,,
